Countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Early-demographic dividend,980085256,1027290366,1003279186,1052059966,1077621038,1103954709,1131050085,1158974343,1187602236,1216984739,1247114277,1277990369,1309615000,1342025603,1375099398,1408837332,1443191766,1478222903,1514191924,1551478689,1590290482,1630688780,1672527054,1715519001,1759236282,1803388664,1847860252,1892643036,1937555154,1982404841,2029207305,2073777602,2117950211,2161909784,2205893669,2250115643,2294686411,2339478706,2384215228,2428682278,2472913805,2516715617,2560162782,2603385880,2646598382,2689939785,2733462527,2777145806,2820903724,2864614907,2908287643,2951856336,2994852889,3037662926,3080325473,3122841922,3165142287,3207188541,3249140605
East Asia & Pacific,1040958103,1059018809,1044544622,1084796352,1110214377,1136691455,1166600015,1195269923,1224531259,1257454897,1290384064,1324084715,1355934900,1386188710,1416257366,1443359147,1467569010,1490449457,1513227369,1536434993,1559194619,1582789699,1608678553,1634539937,1659131214,1684294889,1710989831,1739071545,1767429690,1795159128,1822193192,1848222188,1872480731,1895897521,1919359723,1942431457,1965146504,1987315562,2008705489,2028650274,2047640119,2065912076,2083186112,2099602439,2115458616,2131146832,2146744075,2161785573,2177119142,2192059415,2206884624,2221673110,2236819053,2252046977,2267482299,2282855831,2298514046,2314202003,2328220870
Europe & Central Asia (excluding high income),275147578,283762877,279443876,288099625,292424434,296682673,300278116,303940876,307516657,311023409,314539976,318052830,321560922,325046534,328549115,332071182,335746714,339361874,342936802,346489990,350139462,353859116,357399180,360920890,364686101,368464042,372210556,375941782,379557335,382800641,385427601,387394807,389005125,390255767,390879149,391293819,391652704,392007080,392243961,392211706,392301484,392050558,391720978,391882450,392243981,392658986,393216869,393919037,394991819,396743394,398783138,401012737,403265869,405778196,408278056,410844329,413361214,415710935,417797257
Europe & Central Asia,667253650,682921730,674962981,690946639,698901133,706626086,713395321,719979928,726307440,732494115,738123474,743747729,749899411,755883707,761661778,767264967,772775173,778073497,783310523,788572897,794002749,799296289,804063632,808620566,813373068,818222369,823200868,828219836,833273189,838162533,842570541,846356322,849757442,852712876,854685450,856212881,857577538,858882872,860015493,861035457,861993393,863083216,864648977,866925884,869516666,872163396,874862170,878004122,881531261,885170595,888627318,890862941,894486795,898766094,903129978,907498192,911812364,915420161,918793590
Ecuador,4543666,4809201,4674172,4948986,5093854,5243977,5399422,5560012,5725459,5895367,6069376,6247418,6429379,6614843,6803280,6994334,7187787,7383724,7582353,7784072,7989186,8197652,8409397,8624594,8843462,9066109,9292474,9522360,9755579,9991870,10230934,10472475,10716129,10961466,11208001,11455204,11703174,11951452,12198449,12442115,12681123,12914667,13143465,13369678,13596388,13825847,14059384,14296557,14535739,14774424,15011117,15243883,15474102,15707474,15951838,16212020,16491115,16785361,17084357
"Egypt, Arab Rep.",26632894,28112256,27366237,28871383,29644875,30433022,31237600,32056510,32881848,33703139,34513850,35311910,36102659,36896554,37708146,38549142,39422730,40329589,41275736,42267435,43309063,44400113,45539296,46728286,47968642,49258732,50602354,51991700,53399246,54788685,56134475,57424549,58666814,59880658,61095804,62334034,63601629,64892270,66200269,67515591,68831561,70152661,71485043,72826097,74172073,75523569,76873663,78232126,79636079,81134798,82761235,84529250,86422240,88404640,90424654,92442547,94447072,96442593,98423595
Euro area,265203934,270110056,267621101,272655378,275163387,277650957,279969040,281974883,283866409,285778637,287338845,288923420,290874595,292728234,294399225,295923527,297251524,298441845,299652820,300886490,302184230,303343135,304174240,304787493,305299134,305877727,306640638,307488390,308516473,309837592,311262588,312708137,314162058,315449099,316366779,317181448,318003015,318761762,319433981,320258898,321310791,322547874,324125336,325885964,327682505,329380417,330922789,332645165,334274725,335360890,336151479,335419643,336159194,337302113,338466255,339533474,340616924,341164362,341783171
Eritrea,1007590,1060486,1033328,1088854,1118159,1148189,1178875,1210302,1242635,1276123,1310945,1347176,1384797,1423761,1463983,1505439,1547975,1591620,1636769,1683939,1733416,1784561,1836823,1890558,1946305,2003937,2064794,2127422,2185605,2231141,2258653,2266358,2257596,2238626,2218430,2204222,2196464,2195179,2206432,2237405,2292416,2374722,2481058,2600973,2719803,2826659,2918205,2996536,3062779,3119920,3170435,3213972,336159194,337302113,338466255,339533474,340616924,341164362,341783171
Spain,30455000,31023366,30739250,31296651,31609195,31954292,32283194,32682947,33113134,33441054,33814531,34224490,34604469,34988947,35373335,35757900,36137812,36511638,36864898,37191330,37491165,37758631,37986012,38171525,38330364,38469512,38584624,38684815,38766939,38827764,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46483569,46593236,46723749
Estonia,1211537,1241623,1225077,1258857,1277086,1294566,1308597,1318946,1331214,1345249,1360076,1376955,1392518,1405951,1418169,1429352,1439576,1450211,1460188,1468333,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1320884
Ethiopia,22151278,23221389,22671191,23798430,24397022,25013626,25641044,26280132,26944390,27652709,28415077,29248643,30140804,31036662,31861352,32566854,33128149,33577242,33993301,34487799,35141712,35984528,36995248,38142674,39374348,40652141,41965693,43329231,44757203,46272299,47887865,49609969,51423585,53295566,55180998,57047908,58883530,60697443,62507724,64343013,66224804,68159423,70142091,72170584,74239505,76346311,78489206,80674348,82916235,85233913,87639964,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559
European Union,409306076,416450473,412798418,420166491,423850244,427380782,430687619,433861577,436817143,439658725,441986158,444288192,447081048,449719264,452179363,454542377,456685457,458618982,460468272,462298836,464225439,465947860,467248876,468335580,469368776,470497179,471780193,473103906,474581370,476149867,477725565,479155422,480544294,482059744,483264869,484222373,485063813,485855012,486597004,487497959,488221138,489015301,490252423,492063516,494028141,495983155,497844869,499790863,501683669,503194070,504298777,504005894,505096232,506597697,508193856,509717579,511218529,512191098,513213363
Fragile and conflict affected situations,120335436,125989185,123102643,128998464,132146262,135443764,138901311,142517806,146274765,150149071,154125870,158184120,162336872,166632061,171143908,175913811,180973468,186282227,191732730,197176457,202506212,207706419,212817642,217875296,222933368,228049054,233189187,238381626,243809801,249707879,258210292,265557410,273554015,281936725,290328995,298467311,306246158,313764396,321010137,328377495,336293932,344736362,353568055,362707108,372022500,381419066,390889972,400456806,410146920,419986678,430002303,440218679,450626774,461192790,471835322,482530732,493290951,504119229,515215936
Finland,4429634,4491443,4461005,4523309,4548543,4563732,4580869,4605744,4626469,4623785,4606307,4612124,4639657,4666081,4690574,4711440,4725664,4738902,4752528,4764690,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5518050
Fiji,393481,421665,407249,436293,450542,463968,476404,487981,498940,509704,520562,531635,542844,554138,565415,576626,587557,598296,609383,621585,635307,651021,668280,685497,700483,711775,718639,721783,722930,724594,728573,735401,744469,754963,765609,775425,784386,792736,800157,806303,811006,813925,815257,816076,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459,883483
France,46621669,47904877,47240543,48582611,49230595,49818028,50330262,50775794,51175508,51561836,51957738,52371342,52793138,53207734,53592233,53931390,54220022,54467702,54691851,54917118,55161527,55430296,55718933,56023770,56337666,56654696,56976123,57302663,57627105,57940212,58235697,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66316100,66593366,66859768,66865144,66987244
Faroe Islands,34615,35524,35076,35969,36406,36847,37278,37705,38124,38570,39009,39458,39925,40387,40850,41299,41722,42134,42538,42936,43337,43725,44108,44488,44891,45330,45818,46349,46830,47166,47274,47120,46739,46266,45856,45625,45615,45796,46096,46436,46735,46997,47233,47432,47600,47722,47792,47825,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331,48497
"Micronesia, Fed. Sts.",44514,47367,45932,48855,50468,52227,54192,56307,58388,60145,61417,62082,62279,62270,62455,63128,64361,66082,68194,70517,72930,75423,78012,80629,83195,85640,87905,89979,91985,94057,96301,98770,101389,103915,106030,107529,108321,108480,108208,107781,107402,107173,107030,106901,106625,106129,105371,104444,103543,102975,102911,103450,104506,105926,107446,108895,110215,111459,112640
Gabon,500928,511287,505799,517580,524895,533361,543112,554059,565766,577646,589314,600613,611704,622920,634742,647536,661402,676255,692077,708788,726328,744696,763930,784061,805115,827108,850048,873867,898469,923711,949488,975783,1002579,1029778,1057255,1084946,1112955,1141338,1170061,1199052,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275
United Kingdom,52400000,53250000,52800000,53650000,54000000,54348050,54648500,54943600,55211700,55441750,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991
Georgia,3645600,3760300,3703600,3816100,3870300,3921600,3966700,4005800,4042300,4080300,4119900,4163000,4205300,4242500,4279500,4311200,4342400,4372100,4397700,4430200,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3731000
Ghana,6635230,7071971,6848295,7300116,7524472,7739473,7941412,8132803,8321770,8520015,8735495,8973244,9229631,9493556,9749104,9985946,10199165,10395452,10590261,10805314,11056116,11348289,11676823,12033575,12405660,12783613,13164837,13552021,13947042,14353410,14773277,15207367,15653336,16106765,16561674,17014057,17462496,17908985,18357156,18812359,19278856,19756928,20246381,20750299,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108
Gibraltar,23420,24313,23813,24889,25479,26073,26633,27173,27685,28166,28606,29006,29358,29650,29886,30067,30180,30234,30232,30169,30065,29902,29691,29482,29283,29154,29094,29115,29159,29187,29147,29022,28840,28675,28602,28692,28971,29408,29947,30529,31077,31602,32102,32555,32928,33219,33417,33517,33559,33565,33585,33612,33646,33692,33725,33736,33737,33728,33718
Guinea,3494162,3611429,3552065,3672556,3735916,3801705,3870203,3941053,4013055,4084600,4154605,4223051,4290534,4357357,4424030,4491248,4559242,4628877,4702376,4782495,4871435,4969592,5077082,5195445,5326362,5470702,5629418,5801326,5982486,6167475,6352283,6534939,6716038,6897166,7081116,7269625,7463782,7662075,7860781,8054743,8240730,8417081,8586074,8753093,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318
"Gambia, The",365047,379894,372445,387641,396011,405259,415478,426629,438603,451228,464410,478116,492426,507432,523251,539979,557805,576757,596536,616768,637246,657579,678113,700199,725694,755787,791147,831023,873444,915635,955593,992673,1027475,1060862,1094212,1128575,1164091,1200526,1238125,1277133,1317703,1360074,1404261,1449925,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,2085860,2149139,2213894,2280102
Guinea-Bissau,616136,628883,622761,635011,641812,649790,658994,669237,680432,692407,704939,718364,732523,746173,757674,765989,770421,771737,772142,774726,781677,793806,810405,830207,851276,872163,892522,912754,933045,953790,975261,997522,1020350,1043423,1066346,1088854,1110833,1132510,1154371,1177131,1201301,1227106,1254453,1283305,1313492,1344930,1377581,1411543,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1737202,1782437,1828146,1874309
Equatorial Guinea,255333,262219,258791,266000,270618,276300,283506,291790,299413,304000,303982,298846,289501,277646,265771,255800,247962,242156,239678,241980,249929,264374,284630,308206,331552,352118,369023,382981,394961,406620,419188,432853,447266,462637,479098,496768,515853,536460,558492,581770,606181,631666,658384,686664,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122276,1168568,1215179,1262001,1308974
Greece,8331725,8448233,8398050,8479625,8510429,8550333,8613651,8684088,8740765,8772764,8792806,8831036,8888628,8929086,8962022,9046541,9188150,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934300,9967213,10000595,10036983,10089498,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10727668
Grenada,89932,92484,91327,93413,94123,94636,94934,95020,94927,94728,94475,94221,93983,93669,93191,92494,91475,90227,89101,88600,89032,90607,93122,96019,98477,99946,100191,99436,98120,96924,96331,96460,97165,98230,99352,100288,101001,101567,102021,102432,102833,103249,103634,104005,104347,104661,104933,105190,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454
Greenland,32500,35000,33700,36400,37600,39200,40500,41900,43400,44900,46400,47200,48300,49000,49500,49600,49700,49400,49200,49600,50200,51000,51500,52100,52700,53200,53500,54100,54800,55300,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56025
Guatemala,4210747,4464249,4336143,4595510,4730540,4869716,5013153,5160609,5311615,5465512,5621792,5780480,5941567,6104530,6268707,6433728,6599214,6765516,6933906,7106145,7283459,7466488,7654819,7847472,8042897,8240060,8438604,8639108,8842575,9050465,9263813,9483270,9708544,9938692,10172297,10408489,10646674,10887634,11133501,11387203,11650743,11924946,12208848,12500478,12796925,13096028,13397021,13700327,14006428,14316263,14630417,14948803,15270778,15595821,15923243,16252429,16583060,16914936,17247807
Guam,66742,69604,68072,71286,73051,74830,76607,78404,80217,82040,83877,85726,87587,89464,91377,93352,95385,97477,99630,101844,104133,106485,108906,111402,113961,116572,119232,121919,124673,127522,130482,133558,136692,139818,142802,145561,148060,150303,152277,153953,155329,156401,157176,157717,158101,158402,158648,158847,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768
Guyana,571819,606285,589274,622575,637845,651868,664521,675871,686146,695745,704934,713684,721948,729916,737847,745841,754101,762424,770125,776254,780153,781732,781246,778948,775219,770435,764446,757448,750639,745585,743309,744474,748602,754144,758896,761291,760795,757970,753778,749674,746715,745206,744789,745143,745737,746163,746343,746474,746817,747718,749436,752028,755399,759285,763380,767432,771366,775221,779004
High income,760193906,781558432,771546780,791500756,801349486,810831993,819708674,827927262,835367980,844677617,853011324,862109111,870906832,878815003,887824144,896323112,903502034,910950507,918462256,926341455,934008001,941672267,948924500,955737922,962190813,968672259,975437073,982183208,989071855,996396222,1004169206,1012606603,1018853066,1026846769,1034461319,1043384479,1050573065,1057559196,1064403601,1071158291,1077839576,1084888957,1092175508,1099365177,1106953027,1114743713,1123222521,1132154767,1141674064,1150180708,1157826206,1163335501,1170223344,1177175241,1184323353,1191326855,1198350350,1204429565,1210312147
"Hong Kong SAR, China",3075605,3305200,3168100,3420900,3504600,3597900,3629900,3722800,3802700,3863900,3959000,4045300,4123600,4241600,4377800,4461600,4518000,4583700,4667500,4929700,5063100,5183400,5264500,5345100,5397900,5456200,5524600,5580500,5627600,5686200,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7451000
Honduras,2038632,2155647,2096409,2216704,2280048,2346015,2414803,2486415,2560727,2637513,2716654,2798123,2882113,2968989,3059239,3153253,3251145,3352825,3458095,3566654,3678279,3792919,3910640,4031325,4154860,4281161,4410269,4542214,4677024,4814702,4955303,5098591,5244678,5394412,5548960,5709014,5874809,6045699,6220406,6397151,6574509,6751912,6929265,7106319,7282953,7458985,7634298,7808518,7980955,8150775,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522
Heavily indebted poor countries (HIPC),161734357,169567094,165573152,173722855,178048171,182548785,187227582,192084649,197119436,202329943,207714294,213272637,219004370,224905331,230970305,237195002,243590895,250160346,256880793,263721622,270668574,277719103,284905162,292290346,299959473,307980296,316358131,325095184,334249178,343887505,354047260,364782185,376055904,387705076,399503946,411298620,423019190,434736174,446608340,458867402,471680794,485112686,499113575,513601239,528444632,543555326,558909236,574560260,590590368,607115564,624219326,641921311,660193774,679012664,698336451,718128416,738387254,759106221,780234406
Croatia,4140181,4196712,4167292,4225675,4252876,4280923,4310701,4338683,4365628,4391490,4412252,4431275,4450564,4470161,4490660,4512082,4535934,4559571,4581085,4594778,4599782,4611509,4634234,4658254,4680285,4701417,4721446,4739745,4755207,4767260,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4089400
Haiti,3866159,4019173,3941944,4097755,4177637,4258732,4341318,4425303,4509813,4593669,4676230,4757182,4837332,4918625,5003710,5094577,5191632,5294619,5404019,5520187,5643173,5773366,5910227,6051622,6194687,6337273,6478541,6618744,6758223,6897755,7037917,7178607,7319493,7460689,7602320,7744503,7887304,8030726,8174680,8319057,8463806,8608819,8754150,8900104,9047077,9195288,9344785,9495328,9646580,9798046,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176
Hungary,9983967,10061734,10029321,10087947,10119835,10147935,10178653,10216604,10255815,10298723,10337910,10367537,10398489,10432055,10478720,10540525,10598677,10648031,10684822,10704152,10711122,10711848,10705535,10689463,10668095,10648713,10630564,10612741,10596487,10481719,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9768785
IBRD only,1916725984,1970953262,1937366367,2016413384,2061940171,2108649439,2158535715,2208041898,2258892461,2311898866,2366349459,2422126843,2476981598,2531557876,2585289079,2637247806,2688099702,2737889788,2788188544,2839472004,2891281645,2944612598,3000786139,3057588035,3113889531,3171073491,3229839106,3290144789,3350637888,3410072473,3468162855,3524494627,3578748050,3631876396,3684211762,3735691901,3786541610,3837092885,3886855288,3935228896,3981934121,4027560123,4072371012,4116879950,4161045550,4205058601,4248617747,4291629776,4334791952,4378481189,4421851199,4465853343,4510296617,4555067814,4599654984,4643767826,4687686335,4731120193,4772284113
IDA & IBRD total,2299827560,2372990360,2329751232,2428491489,2484475271,2542065200,2603294258,2664582621,2727559890,2792906650,2859823273,2928162561,2995741759,3063329696,3130554486,3196617158,3262238505,3327432779,3393737765,3461566608,3530412139,3601268626,3675483595,3750866217,3826309623,3903212208,3982271082,4063430290,4145325696,4226720042,4307407025,4386707250,4464471808,4541486325,4617974811,4693887421,4769462932,4844990450,4919850879,4993500491,5066140135,5138190545,5209873584,5281727972,5353754291,5426151241,5498679869,5571274179,5644570358,5718843756,5793479782,5869059895,5945148626,6022137210,6099662180,6177552865,6256138021,6335039629,6412522234
IDA total,383101576,402037098,392384865,412078105,422535100,433415761,444758543,456540723,468667429,481007784,493473814,506035718,518760161,531771820,545265407,559369352,574138803,589542991,605549221,622094604,639130494,656656028,674697456,693278182,712420092,732138717,752431976,773285501,794687808,816647569,839244170,862212623,885723758,909609929,933763049,958195520,982921322,1007897565,1032995591,1058271595,1084206014,1110630422,1137502572,1164848022,1192708741,1221092640,1250062122,1279644403,1309778406,1340362567,1371628583,1403206552,1434852009,1467069396,1500007196,1533785039,1568451686,1603919436,1640238121
IDA blend,123891139,129965147,126858184,133206225,136575197,140066503,143685944,147439073,151321867,155331570,159468637,163727802,168123679,172701100,177520721,182622716,188026801,193716000,199663470,205822820,212160514,218662193,225330186,232165092,239172894,246352583,253706111,261218240,268847200,276540959,284376771,292064422,299824422,307643999,315538560,323589222,331892967,340389142,348989354,357543133,366210370,374871731,383578460,392391532,401420450,410737369,420376591,430363365,440671619,451237921,462331503,473598444,484720757,496066901,507644354,519429790,531399044,543525897,555830605
Indonesia,87751068,92518377,90098394,95015297,97596733,100267062,103025426,105865571,108779924,111758563,114793178,117880144,121017314,124199687,127422211,130680727,133966941,137278058,140621730,144009845,147447836,150938232,154468229,158009246,161523347,164982451,168374287,171702763,174975954,178209150,181413402,184591903,187739786,190851175,193917462,196934260,199901228,202826446,205724592,208615169,211513823,214427417,217357793,220309469,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435
IDA only,259210437,272071951,265526681,278871880,285959903,293349258,301072599,309101650,317345562,325676214,334005177,342307916,350636482,359070720,367744686,376746636,386112002,395826991,405885751,416271784,426969980,437993835,449367270,461113090,473247198,485786134,498725865,512067261,525840608,540106610,554867399,570148201,585899336,601965930,618224489,634606298,651028355,667508423,684006237,700728462,717995644,735758691,753924112,772456490,791288291,810355271,829685531,849281038,869106787,889124646,909297080,929608108,950131252,971002495,992362842,1014355249,1037052642,1060393539,1084407516
Isle of Man,48442,48418,48281,48800,49391,50141,51049,52118,53254,54376,55425,56359,57166,57919,58677,59478,60380,61336,62262,63029,63551,63776,63772,63695,63807,64278,65198,66471,67926,69267,70298,70932,71254,71428,71661,72131,72878,73850,74943,76001,76941,77703,78318,78884,79520,80305,81285,82408,83508,84376,84857,84886,84533,83976,83488,83234,83287,83598,84077
India,450547679,469077190,459642165,478825608,488848135,499123324,509631500,520400576,531513824,543084336,555189792,567868018,581087256,594770134,608802600,623102897,637630087,652408776,667499806,682995354,698952844,715384993,732239504,749428958,766833410,784360008,801975244,819682102,837468930,855334678,873277798,891273209,909307016,927403860,945601831,963922588,982365243,1000900030,1019483581,1038058156,1056575549,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328
Not classified,450547679,469077190,459642165,478825608,488848135,499123324,509631500,520400576,531513824,543084336,555189792,567868018,581087256,594770134,608802600,623102897,637630087,652408776,667499806,682995354,698952844,715384993,732239504,749428958,766833410,784360008,801975244,819682102,837468930,855334678,873277798,891273209,909307016,927403860,945601831,963922588,982365243,1000900030,1019483581,1038058156,1056575549,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328
Ireland,2828600,2836050,2824400,2852650,2866550,2877300,2888800,2902450,2915550,2932650,2957250,2992050,3036850,3085950,3137500,3189550,3238050,3282200,3329100,3373750,3412800,3453000,3485800,3510600,3532423,3538082,3539690,3540057,3524949,3511009,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4853506
"Iran, Islamic Rep.",21906914,23071315,22480372,23680258,24307860,24954873,25624373,26317783,27032571,27764924,28513866,29281591,30075297,30905707,31786471,32729772,33733961,34803045,35960805,37237137,38650246,40199906,41869236,43636837,45472791,47347186,49260255,51193782,53077313,54822003,56366217,57679034,58780370,59723764,60590614,61442664,62294920,63136312,63971836,64800880,65623405,66449112,67284796,68122938,68951281,69762347,70554760,71336475,72120604,72924837,73762519,74634956,75539862,76481943,77465753,78492215,79564016,80673951,81800269
Iraq,7289760,7674220,7475350,7888913,8122197,8375790,8651162,8947404,9260682,9585576,9917983,10255850,10599668,10950888,11312062,11684590,12068676,12462070,12860680,13259113,13653354,14044117,14432468,14815656,15190393,15555800,15909762,16257070,16612322,16994948,17419113,17889459,18402734,18955085,19539340,20149338,20783073,21439574,22114324,22802064,23497585,24208180,24931919,25644499,26313838,26922284,27448124,27911248,28385746,28973162,29741976,30725300,31890011,33157050,34411951,35572261,36610632,37552781,38433600
Iceland,175574,182378,179029,185653,188983,192286,195570,198751,201488,203369,204438,206098,209137,212317,215209,217979,220154,221799,223537,225735,228138,230755,233860,236977,239511,241405,243180,245859,249740,252852,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,353574
Israel,2114020,2293000,2185000,2379000,2475000,2563000,2629000,2745000,2803000,2877000,2974000,3069000,3148000,3278000,3377000,3455000,3533000,3613000,3690000,3786000,3878000,3956000,4031000,4105000,4159000,4233000,4299000,4369000,4442000,4518000,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8883800
Italy,50199700,50879450,50536350,51252000,51675350,52112350,52519000,52900500,53235750,53537950,53821850,54073490,54381345,54751406,55110868,55441001,55718260,55955411,56155143,56317749,56433883,56501675,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60431283
Jamaica,1628520,1676501,1651073,1703651,1730738,1756511,1780518,1803319,1825879,1849662,1875642,1904276,1935100,1966974,1998309,2028016,2055365,2080831,2105907,2132785,2162846,2196921,2234057,2271736,2306366,2335510,2358161,2375393,2389411,2403464,2419906,2439334,2461049,2484581,2509043,2533711,2558637,2583916,2608873,2632675,2654701,2674702,2692845,2709437,2725015,2740003,2754407,2768227,2781876,2795837,2810460,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855
Jordan,933102,1010658,973988,1050213,1102399,1173606,1267062,1378998,1500163,1617428,1721323,1809182,1883935,1948442,2007735,2065913,2123180,2179363,2237943,2303122,2377995,2464867,2563534,2671413,2784463,2900049,3015299,3131796,3256558,3399330,3565890,3760496,3977672,4201555,4410359,4588843,4732854,4848541,4943975,5031762,5122493,5217336,5317506,5434030,5580244,5765635,5991540,6255280,6556478,6893260,7261539,7663131,8090872,8520420,8920049,9266575,9551467,9779173,9956011
Japan,92500572,95832000,94943000,96812000,97826000,98883000,99790000,100725000,101061000,103172000,104345000,105697000,107188000,108079000,110162000,111940000,112771000,113863000,114898000,115870000,116782000,117648000,118449000,119259000,120018000,120754000,121492000,122091000,122613000,123116000,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100
